date,process,workstation,characteristic,measurement_value,target,lsl,usl
2025-01-03,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.5992,200.0,180.0,220.0
2025-01-12,Hose Clamp Assembly,Line 1,Hose pull-off force (N),201.3224,200.0,180.0,220.0
2025-01-24,Hose Clamp Assembly,Line 2,Hose pull-off force (N),202.5219,200.0,180.0,220.0
2025-01-14,Hose Clamp Assembly,Line 2,Hose pull-off force (N),201.0429,200.0,180.0,220.0
2025-01-12,Hose Clamp Assembly,Line 2,Hose pull-off force (N),200.9609,200.0,180.0,220.0
2025-01-19,Hose Clamp Assembly,Line 2,Hose pull-off force (N),198.807,200.0,180.0,220.0
2025-01-15,Hose Clamp Assembly,Line 1,Hose pull-off force (N),197.4989,200.0,180.0,220.0
2025-01-16,Hose Clamp Assembly,Line 1,Hose pull-off force (N),201.0512,200.0,180.0,220.0
2025-01-28,Hose Clamp Assembly,Line 3,Hose pull-off force (N),200.4826,200.0,180.0,220.0
2025-01-19,Hose Clamp Assembly,Line 3,Hose pull-off force (N),199.9885,200.0,180.0,220.0
2025-01-20,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.8807,200.0,180.0,220.0
2025-01-16,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.5231,200.0,180.0,220.0
2025-01-17,Hose Clamp Assembly,Line 1,Hose pull-off force (N),201.9212,200.0,180.0,220.0
2025-01-28,Hose Clamp Assembly,Line 3,Hose pull-off force (N),200.6955,200.0,180.0,220.0
2025-01-13,Hose Clamp Assembly,Line 3,Hose pull-off force (N),199.7154,200.0,180.0,220.0
2025-01-10,Hose Clamp Assembly,Line 2,Hose pull-off force (N),201.7592,200.0,180.0,220.0
2025-01-02,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.3387,200.0,180.0,220.0
2025-01-05,Hose Clamp Assembly,Line 1,Hose pull-off force (N),201.2137,200.0,180.0,220.0
2025-01-11,Hose Clamp Assembly,Line 2,Hose pull-off force (N),200.0325,200.0,180.0,220.0
2025-01-19,Hose Clamp Assembly,Line 2,Hose pull-off force (N),199.8296,200.0,180.0,220.0
2025-01-05,Hose Clamp Assembly,Line 2,Hose pull-off force (N),200.6932,200.0,180.0,220.0
2025-01-28,Hose Clamp Assembly,Line 3,Hose pull-off force (N),200.6093,200.0,180.0,220.0
2025-01-06,Hose Clamp Assembly,Line 1,Hose pull-off force (N),201.1588,200.0,180.0,220.0
2025-01-16,Hose Clamp Assembly,Line 2,Hose pull-off force (N),200.2781,200.0,180.0,220.0
2025-01-21,Hose Clamp Assembly,Line 1,Hose pull-off force (N),198.4335,200.0,180.0,220.0
2025-01-11,Hose Clamp Assembly,Line 3,Hose pull-off force (N),200.085,200.0,180.0,220.0
2025-01-02,Hose Clamp Assembly,Line 1,Hose pull-off force (N),201.5282,200.0,180.0,220.0
2025-01-15,Hose Clamp Assembly,Line 2,Hose pull-off force (N),200.2443,200.0,180.0,220.0
2025-01-07,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.3043,200.0,180.0,220.0
2025-01-19,Hose Clamp Assembly,Line 1,Hose pull-off force (N),201.7548,200.0,180.0,220.0
2025-01-16,Hose Clamp Assembly,Line 1,Hose pull-off force (N),199.7565,200.0,180.0,220.0
2025-01-05,Hose Clamp Assembly,Line 3,Hose pull-off force (N),198.7789,200.0,180.0,220.0
2025-01-14,Hose Clamp Assembly,Line 3,Hose pull-off force (N),200.4052,200.0,180.0,220.0
2025-01-14,Hose Clamp Assembly,Line 2,Hose pull-off force (N),200.0245,200.0,180.0,220.0
2025-01-14,Hose Clamp Assembly,Line 2,Hose pull-off force (N),199.4573,200.0,180.0,220.0
2025-01-13,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.3879,200.0,180.0,220.0
2025-01-02,Hose Clamp Assembly,Line 3,Hose pull-off force (N),201.1725,200.0,180.0,220.0
2025-01-07,Hose Clamp Assembly,Line 3,Hose pull-off force (N),200.5833,200.0,180.0,220.0
2025-01-12,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.9554,200.0,180.0,220.0
2025-01-11,Hose Clamp Assembly,Line 3,Hose pull-off force (N),202.7279,200.0,180.0,220.0
2025-01-07,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.1908,200.0,180.0,220.0
2025-01-22,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.9217,200.0,180.0,220.0
2025-01-21,Hose Clamp Assembly,Line 3,Hose pull-off force (N),199.9951,200.0,180.0,220.0
2025-01-08,Hose Clamp Assembly,Line 1,Hose pull-off force (N),199.5984,200.0,180.0,220.0
2025-01-23,Hose Clamp Assembly,Line 2,Hose pull-off force (N),199.906,200.0,180.0,220.0
2025-01-10,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.0309,200.0,180.0,220.0
2025-01-04,Hose Clamp Assembly,Line 2,Hose pull-off force (N),201.0172,200.0,180.0,220.0
2025-01-17,Hose Clamp Assembly,Line 3,Hose pull-off force (N),203.3582,200.0,180.0,220.0
2025-01-10,Hose Clamp Assembly,Line 1,Hose pull-off force (N),199.7517,200.0,180.0,220.0
2025-01-03,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.104,200.0,180.0,220.0
2025-01-10,Hose Clamp Assembly,Line 2,Hose pull-off force (N),200.5199,200.0,180.0,220.0
2025-01-15,Hose Clamp Assembly,Line 3,Hose pull-off force (N),201.0599,200.0,180.0,220.0
2025-01-17,Hose Clamp Assembly,Line 3,Hose pull-off force (N),200.9043,200.0,180.0,220.0
2025-01-17,Hose Clamp Assembly,Line 2,Hose pull-off force (N),202.1051,200.0,180.0,220.0
