ncr_id,date_opened,date_closed,status,supplier_name,process,defect_type,severity,description
NCR-2025-1000,2025-10-10,,Containment,Polar Precision Machining,QD Torque Set,Cosmetic,Minor,Nonconformance recorded during inspection or in-process verification
NCR-2025-1001,2025-07-22,,Open,Cascade Pumps Inc.,Manifold Leak Test,Cosmetic,Minor,Nonconformance recorded during inspection or in-process verification
NCR-2025-1002,2025-09-03,,Open,Polar Precision Machining,Coldplate Machining,Dimensional OOT,Minor,Nonconformance recorded during inspection or in-process verification
NCR-2025-1003,2025-09-09,2025-09-17,Closed,Boreal Quick Disconnects,QD Torque Set,Leak,Minor,Nonconformance recorded during inspection or in-process verification
NCR-2025-1004,2025-04-01,2025-04-25,Closed,Glacier Hose & Clamp,Coldplate Machining,Leak,Minor,Nonconformance recorded during inspection or in-process verification
NCR-2025-1005,2025-08-07,,In Review,Boreal Quick Disconnects,Hose Clamp Assembly,Documentation,Minor,Nonconformance recorded during inspection or in-process verification
NCR-2025-1006,2025-01-07,2025-01-22,Closed,ArcticManifold Ltd.,Hose Clamp Assembly,Leak,Major,Nonconformance recorded during inspection or in-process verification
NCR-2025-1007,2025-01-23,,Open,Boreal Quick Disconnects,Coldplate Machining,Documentation,Minor,Nonconformance recorded during inspection or in-process verification
NCR-2025-1008,2025-01-05,2025-01-11,Closed,Glacier Hose & Clamp,QD Torque Set,Leak,Minor,Nonconformance recorded during inspection or in-process verification
NCR-2025-1009,2025-09-03,2025-09-20,Closed,Polar Precision Machining,Coldplate Machining,Cosmetic,Minor,Nonconformance recorded during inspection or in-process verification
NCR-2025-1010,2025-03-21,,In Review,Boreal Quick Disconnects,QD Torque Set,Documentation,Minor,Nonconformance recorded during inspection or in-process verification
NCR-2025-1011,2025-01-23,,Containment,Cascade Pumps Inc.,Manifold Leak Test,Dimensional OOT,Minor,Nonconformance recorded during inspection or in-process verification
NCR-2025-1012,2025-04-25,,Containment,Cascade Pumps Inc.,Coldplate Machining,Cosmetic,Major,Nonconformance recorded during inspection or in-process verification
NCR-2025-1013,2025-04-26,2025-05-20,Closed,Cascade Pumps Inc.,Hose Clamp Assembly,Contamination,Minor,Nonconformance recorded during inspection or in-process verification
